ssn,fname,minit,lname,bdate,address,sex,salary,superssn,dno
656418530,Ashley,L,Hall,1955-01-22,3552 Washington Ave,F,67008.3,,18
348129275,Kevin,L,Anderson,1974-09-03,1631 Oak Ln,M,126624.1,,50
408849655,Brian,B,Harris,1979-07-26,5222 Park St,M,116677.1,,14
541513645,Karen,K,Allen,1991-09-17,468 Pine Ave,F,51387.64,,46
895583423,Dorothy,T,White,1958-09-26,2704 Elm Rd,F,37634.48,,35
741027901,Joseph,A,Scott,1978-04-14,9284 Washington Way,M,41225.03,,49
468475537,Matthew,M,Wilson,1974-07-20,9761 Lincoln St,F,147011.75,,33
826958713,Steven,E,Walker,1986-09-22,8822 Elm Way,M,100117.26,,49
982655420,Matthew,K,Green,1979-03-12,6222 Cedar St,M,72426.29,,16
777157408,Kimberly,W,Campbell,1975-08-10,4211 Park St,F,32866.72,,12
991092205,Carol,D,Perez,1993-02-27,4860 Lake Ct,F,132360.84,,9
943702118,Donna,L,Robinson,1983-08-22,3601 Park Ct,M,102708.4,,1
690279296,William,T,Smith,1970-12-13,5569 Lincoln Ct,F,114803.95,,40
412913089,Betty,M,Nelson,1991-02-02,2806 Cedar Ln,M,25062.49,,39
577091621,David,K,Perez,1985-03-08,1015 Park Rd,M,22757.03,,4
642954188,Paul,P,Martin,1955-07-24,8212 Maple Way,M,42054.0,,36
963760321,David,A,White,1994-11-13,8414 Maple Ave,F,44630.64,,45
220201918,Matthew,B,Rodriguez,1961-02-19,1909 Maple Ave,M,124705.02,,36
358099562,Barbara,K,Ramirez,1981-06-28,1155 Pine Way,F,127082.39,,43
581695135,William,P,Lopez,1972-08-08,1335 Lincoln Ave,M,102171.94,,1
323343526,Kenneth,K,Gonzalez,1962-10-03,6362 Maple Rd,M,24014.04,,34
534439603,Timothy,K,Campbell,1993-09-14,4282 Lincoln Way,F,36497.22,,31
541575005,Michael,T,Miller,1983-06-08,4741 Cedar Dr,M,23081.06,,7
995525718,Linda,C,Jackson,1964-05-07,6832 Main Ln,F,54652.16,,11
445649694,Stephanie,S,Anderson,1960-05-25,4953 Elm Ln,M,105732.5,,49
658621226,Jessica,M,Harris,1980-10-03,546 Washington Blvd,F,29448.32,,49
724073270,Charles,J,Martin,1957-08-14,6514 Pine Rd,M,113246.37,,38
185068029,Mary,J,Wilson,1964-09-24,8747 Washington Ave,F,27129.21,,1
566800454,Melissa,J,Wright,1971-07-16,3381 Maple Ct,F,37033.14,,15
453716302,Deborah,N,Lewis,1959-06-01,854 Washington Way,F,74870.63,,7
308656189,Linda,F,Nelson,1991-01-28,9092 Lincoln Ave,F,107319.08,,18
715481841,William,T,Taylor,1977-07-16,7384 Main Dr,M,123613.33,,5
585937780,Sandra,W,Garcia,1987-03-13,8470 Pine Blvd,M,120868.48,,14
595883160,Christopher,G,Perez,1989-11-10,6810 Cedar St,F,145233.49,,4
829211472,Betty,F,Smith,1986-11-04,6594 Lincoln Ave,M,38637.78,,27
514008800,Mark,T,Gonzalez,1980-04-03,4652 Washington Blvd,F,143694.3,,38
459771701,Paul,M,Davis,1966-07-18,6382 Elm Blvd,M,63825.04,,47
590951003,Susan,H,Rivera,1975-02-23,3435 Lincoln Dr,M,25880.4,,26
649309976,George,D,Jackson,1962-02-16,3354 Lake Dr,F,128094.85,,14
631824733,Joshua,F,Walker,1973-12-22,9796 Oak Ct,M,85985.97,,7
484943624,Ashley,T,Torres,1990-03-13,340 Cedar Ave,M,118936.82,,38
679036862,Stephanie,F,Johnson,1994-08-09,6333 Elm Ave,F,84336.77,,36
246351498,Daniel,K,Walker,1989-01-23,8159 Lincoln Rd,M,119563.0,,20
264073400,Melissa,G,Jones,1981-07-11,8990 Lincoln Way,M,66547.54,,1
355837418,Andrew,D,Martinez,1962-11-22,9106 Lincoln St,F,139593.58,,12
287884018,Linda,G,Johnson,1956-10-14,3077 Maple Ln,F,75368.09,,29
533165776,Jennifer,M,Anderson,1968-11-11,5524 Maple Rd,M,143540.08,,41
810001048,Sarah,H,Thomas,1974-10-03,1173 Cedar Ave,F,42071.3,,36
961407774,Joshua,B,Smith,1971-09-20,6341 Cedar Way,F,37190.97,,37
449230222,Charles,R,Miller,1975-06-07,1856 Pine Blvd,F,100519.34,,15
901149698,Deborah,D,Davis,1991-04-26,9676 Elm St,M,144608.37,,36
871880418,Donald,T,Clark,1981-10-03,2153 Maple Ave,F,33975.0,,1
804287932,Barbara,M,Adams,1991-06-15,2394 Cedar Rd,F,28867.31,,43
473391201,Richard,K,Green,1981-06-11,7843 Lake Blvd,M,24848.01,,2
218472553,Linda,M,Torres,1973-01-17,2611 Elm Ln,F,148832.61,,21
188418118,John,A,Gonzalez,1965-07-27,8134 Elm Rd,F,100006.56,,35
384296673,Carol,W,Nguyen,1967-04-26,2679 Washington Ave,F,120977.7,,21
238972343,Kimberly,K,Perez,1978-12-28,2199 Maple Ct,M,22302.27,,25
558565952,Carol,B,Martin,1962-05-12,4696 Maple Way,M,61579.32,,5
721262718,Kevin,S,Nelson,1995-01-09,806 Lake Ln,M,112739.66,,18
266430856,Margaret,D,Robinson,1981-01-21,7341 Main Dr,F,93015.76,,48
889646658,Timothy,S,Perez,1969-07-12,9745 Washington St,F,92033.99,,42
886685642,Joseph,B,Roberts,1966-08-24,6519 Cedar Blvd,M,91232.58,,23
636695255,Jennifer,L,Thompson,1994-09-24,3828 Maple Rd,M,138842.27,,7
820741213,Karen,G,Thomas,1983-01-21,822 Lake Way,F,122955.29,,47
454498073,Kevin,R,Campbell,1995-05-05,2429 Pine Ave,F,55848.78,,16
937881000,Margaret,T,Campbell,1979-03-04,1867 Oak Blvd,M,64735.67,,2
112019056,Betty,B,Allen,1955-02-17,4456 Lake St,F,134450.0,,10
668963471,Donald,L,Johnson,1992-03-25,6772 Pine Blvd,M,142408.02,,40
611106584,Patricia,A,Hall,1965-02-16,7209 Maple Ave,M,49869.64,,46
298328666,Margaret,N,Taylor,1989-07-20,8921 Lake Dr,F,110542.31,,37
707536579,Kevin,E,Mitchell,1985-06-02,3685 Lincoln Dr,M,54366.42,,16
372113539,Joshua,A,Green,1980-01-23,7458 Main Dr,M,102887.62,,9
592149756,Karen,A,Hernandez,1977-09-28,8344 Pine Ln,F,86695.87,,13
484360237,Amanda,R,Hall,1982-02-06,3055 Park Way,F,105479.14,,36
359720591,Susan,R,Allen,1962-10-27,5527 Main Dr,F,113866.01,,6
382473359,Michelle,N,Green,1992-04-21,5813 Lincoln Blvd,F,129289.94,,20
977783087,Margaret,G,Jones,1964-02-14,4118 Lincoln Way,M,114159.9,,10
947476771,Linda,G,Thompson,1986-08-19,299 Park Dr,M,67262.84,,4
547306651,Michelle,A,Young,1995-09-10,5049 Lincoln Dr,F,28923.02,,1
830040870,Ashley,W,Rivera,1971-10-17,5114 Pine Way,M,55337.59,,7
425118997,Richard,S,Moore,1987-04-02,3316 Oak Way,F,30744.22,,45
356810602,Karen,P,Clark,1956-08-11,6245 Lake Rd,F,95660.61,,47
293976787,David,T,Moore,1991-11-19,3579 Lake St,M,74134.47,,6
612912295,William,L,Ramirez,1966-03-28,3062 Elm St,F,50668.54,,42
503002716,George,B,Scott,1957-11-16,968 Washington Dr,M,73323.85,,41
893296383,Andrew,F,Jones,1992-03-24,1165 Main Rd,M,134530.4,,48
684572202,Michelle,R,Hall,1977-11-13,3332 Cedar Ave,M,89866.35,,26
641440255,Mark,W,Moore,1994-11-20,2046 Main Ave,F,31195.95,,1
990930317,Barbara,J,Flores,1969-06-28,3860 Cedar St,M,131519.0,,46
291017139,Nancy,N,Hernandez,1991-03-13,9752 Pine Dr,F,88866.32,,45
378805895,Thomas,L,Scott,1963-03-02,7107 Lincoln Dr,M,124373.11,,16
378820661,Barbara,F,Walker,1968-07-24,2233 Lincoln Dr,M,27752.72,,13
188268881,Matthew,J,Taylor,1959-12-22,6853 Elm St,M,101048.74,,46
703104265,Christopher,E,Smith,1959-04-25,6413 Main Way,M,86133.34,,20
250228767,Barbara,D,King,1965-12-08,1605 Maple Ln,F,30550.63,,23
923490206,Donald,N,King,1960-11-15,2999 Main Ln,F,80353.99,,18
302228735,Margaret,B,Thompson,1958-08-26,9785 Elm Ave,F,138542.71,,38
531129323,Nancy,C,Lee,1976-10-16,3583 Lincoln Ave,F,79095.22,,36
123757620,Paul,A,Torres,1976-10-10,8423 Elm Ln,M,118854.32,,40
302839899,Kevin,W,Wright,1955-03-16,3606 Oak Rd,M,83258.83,,15
420848110,Richard,M,Brown,1968-02-08,7213 Maple St,M,123270.75,,39
931490287,Anthony,W,Jones,1976-03-22,8753 Lincoln Dr,M,94148.11,,32
344762055,Patricia,J,Taylor,1956-11-28,5889 Park St,M,65464.85,,6
254460628,Michelle,N,Williams,1980-06-23,3992 Oak Ct,F,136614.08,,3
443370407,Ashley,G,Davis,1982-01-20,5033 Pine Ave,M,119198.3,,35
592845076,Andrew,H,Hall,1969-05-22,1420 Oak Ave,F,69304.32,,37
301462400,Mark,C,Lopez,1961-03-03,1508 Oak Ave,F,145581.33,,4
880296481,Karen,E,Garcia,1975-03-06,6408 Maple Ln,F,75098.17,,46
438411395,Ashley,C,Rodriguez,1961-10-17,9298 Elm Blvd,F,84264.9,,37
176487306,Anthony,B,Davis,1979-10-06,3282 Washington Rd,F,86249.09,,33
258950514,Melissa,A,Hernandez,1959-03-07,8155 Main St,F,137346.11,,2
415660014,Dorothy,A,Martinez,1964-10-14,897 Cedar Rd,M,43800.03,,49
897034641,Robert,S,Martin,1979-10-02,2707 Lake Dr,M,142734.61,,3
314365568,Jennifer,B,Harris,1981-09-10,3891 Pine Ln,F,82295.38,,34
193053577,Karen,R,Thomas,1984-10-20,6309 Maple St,F,118076.38,,1
549179485,Susan,P,Martinez,1956-05-09,3958 Lake Ct,M,68052.91,,45
487754927,Thomas,H,Campbell,1995-08-20,3303 Lincoln Ave,M,59605.54,,27
954059995,George,J,Jackson,1962-10-22,8999 Washington Way,F,48638.27,,1
749522748,Christopher,A,Brown,1961-08-08,2337 Maple St,M,123808.91,,15
977516280,Matthew,A,Davis,1970-07-25,7357 Pine St,M,79908.5,,8
432941445,Steven,N,Wright,1985-05-02,3231 Cedar Ln,M,45973.95,,1
491932454,Linda,G,Nguyen,1989-03-22,9112 Oak Ct,M,76999.14,,20
563693201,Susan,N,Garcia,1994-05-26,4137 Elm Ave,F,40048.73,,47
185973340,Christopher,K,Martin,1983-10-23,7081 Main Ct,F,33413.89,,1
360056579,John,D,Gonzalez,1956-08-11,6961 Main Way,M,32311.32,,1
503204182,Linda,B,Gonzalez,1970-10-19,3974 Lincoln Way,M,55007.38,,22
728866304,Timothy,S,Robinson,1961-09-26,936 Maple Ave,M,82178.88,,30
922816526,Michelle,E,Hill,1979-03-06,3062 Lake Blvd,F,21310.77,,1
865171242,Joseph,L,Garcia,1958-05-12,8794 Cedar Ct,F,45934.29,,27
709795510,Timothy,E,Gonzalez,1966-07-10,9174 Lincoln St,F,128496.08,,21
417001612,Mary,N,Moore,1955-10-28,903 Lake Ct,F,112059.5,,1
576626352,Matthew,R,White,1976-06-22,6635 Main Dr,M,48204.71,,14
717494743,Brian,W,King,1980-09-21,3392 Cedar Ln,M,78227.59,,14
456401418,Karen,D,White,1982-07-24,7304 Washington Ln,M,34886.1,,1
887525023,Jennifer,R,Lewis,1980-04-08,4908 Main Ct,M,23991.66,,37
393456795,Joshua,J,Baker,1979-06-27,3585 Lake Rd,M,40984.12,,36
379539935,Margaret,D,Adams,1973-08-01,7399 Lake Way,M,44028.16,,4
828230915,Amanda,S,King,1974-01-08,6575 Lake St,M,26132.69,,1
419487653,Michael,N,Carter,1957-05-14,1623 Maple Rd,M,37795.91,,8
772288694,Joseph,J,Wilson,1987-01-10,302 Pine Blvd,F,46825.85,,48
720535283,Steven,G,Martinez,1985-04-28,1873 Maple Ln,M,42878.17,,1
876715256,Betty,L,Walker,1980-05-02,3938 Park Ave,F,75366.25,,19
579624470,Kenneth,N,Scott,1965-10-15,5246 Elm Rd,F,55873.43,,47
624838194,James,D,Scott,1977-02-28,832 Washington Ct,F,93549.32,,23
897752993,Joshua,N,Scott,1987-04-28,2744 Lincoln Ln,M,42777.43,,47
848941873,Sandra,F,Robinson,1982-04-28,3821 Main Dr,F,107512.74,,15
204131289,Margaret,G,Wilson,1962-10-10,3026 Main Way,F,65763.2,,15
399240862,Sarah,D,Johnson,1966-08-17,6440 Park Ave,F,43248.93,,1
928911088,Susan,T,Martinez,1983-01-20,735 Park Ave,F,141554.23,,8
120504826,Barbara,L,Jackson,1983-11-13,984 Main Blvd,M,72795.98,,41
638211480,Barbara,K,Martinez,1956-04-21,4356 Oak Ave,F,46448.93,,50
941089739,Joshua,T,Young,1995-04-21,1166 Pine Ct,F,109070.24,,28
177823712,Joseph,W,Scott,1978-01-07,4959 Main Dr,F,40484.27,,44
846723590,William,P,Hall,1982-09-05,1993 Lincoln Ave,F,65732.58,,23
284757079,Lisa,K,Garcia,1966-04-28,3431 Washington Ave,M,40037.93,,37
802219378,Christopher,A,Harris,1968-08-08,1181 Cedar Ln,M,28753.06,,15
281251517,Betty,J,Allen,1966-05-05,2121 Park Dr,F,134224.49,,25
448442536,Ashley,J,Roberts,1965-04-18,9066 Maple Way,F,121525.87,,13
948761618,Jennifer,P,Davis,1977-07-02,8199 Park Dr,M,83375.88,,45
698600588,Jennifer,D,Torres,1957-08-10,9393 Main Ave,F,59100.82,,5
865975088,Mark,C,Baker,1975-11-12,1163 Park Rd,F,45540.86,,1
418360616,Matthew,T,Clark,1985-08-11,2330 Cedar St,M,52672.8,,37
511318205,Jennifer,D,Miller,1975-06-10,2346 Washington Blvd,M,28893.51,,38
957190886,James,A,Nguyen,1960-07-19,2594 Pine Blvd,F,46200.4,,31
783865325,Charles,K,Campbell,1955-02-06,8345 Lake Ct,F,130833.31,,46
399580835,Emily,K,Anderson,1974-05-23,3496 Lincoln Ln,F,30464.1,,1
740144677,Mark,P,Taylor,1955-06-07,5370 Washington Ct,M,115776.9,,34
128297197,Stephanie,G,Wright,1993-07-22,396 Park Ct,M,70326.22,,26
235209737,Andrew,G,Jones,1990-04-19,3638 Pine Ln,M,113091.71,,1
734083157,Anthony,H,Flores,1970-09-06,8003 Washington Ave,F,47070.96,,46
784551346,Lisa,T,Scott,1968-11-22,7574 Maple Ln,M,126156.53,,31
418036205,Kevin,F,Davis,1994-03-23,7245 Main Blvd,M,45130.03,,3
935389432,Betty,T,Nguyen,1961-08-17,3729 Lake St,F,86643.94,,1
252189904,Robert,J,Sanchez,1960-05-28,7496 Washington Dr,F,43930.18,,5
313878650,Karen,B,Ramirez,1995-08-20,1870 Lincoln Way,F,60708.46,,10
177331835,Robert,L,Perez,1982-05-01,9431 Elm Way,M,96821.5,,30
402629052,Daniel,N,Sanchez,1992-11-01,7833 Park Blvd,F,49585.2,,48
448717183,David,R,Hall,1978-02-14,1834 Pine Way,F,35718.88,,1
590788362,Linda,N,Smith,1992-05-02,7382 Oak Ln,M,80827.92,,48
394974196,George,L,Williams,1964-04-06,9350 Oak Blvd,M,38228.65,,32
183906278,William,T,Martin,1961-02-16,3877 Oak Ln,M,49122.76,,20
742136977,John,P,Mitchell,1975-10-09,523 Elm Dr,M,129965.79,,1
824134645,Susan,P,Adams,1995-06-11,1646 Pine Blvd,F,73166.79,,43
144913399,Lisa,M,Williams,1977-04-22,4188 Elm Ln,F,127906.99,,1
205702499,Timothy,D,Lewis,1965-12-10,574 Oak Ln,M,73470.13,,1
409471503,Kevin,N,Carter,1990-01-15,1542 Maple Rd,F,59274.61,,1
852313014,James,K,Taylor,1968-03-10,514 Oak Way,M,67922.11,,11
865469134,Timothy,W,Garcia,1984-10-05,1622 Lincoln Ave,F,60350.92,,43
789656532,Mary,W,Rodriguez,1961-04-15,1920 Elm Rd,M,133529.88,,21
687467504,Dorothy,M,Lopez,1958-08-26,108 Main St,F,41934.55,,12
331079186,Timothy,P,Moore,1966-05-17,849 Lake Way,M,108167.07,,19
429230002,Kenneth,D,Baker,1987-10-03,1954 Lincoln Ct,M,26095.68,,35
986339543,Mark,W,Nelson,1973-07-15,9430 Oak Ct,M,104971.6,,35
157758928,Joseph,W,Davis,1990-08-13,9613 Main St,M,90073.3,,16
636531976,Amanda,J,Hernandez,1993-11-14,9269 Park Blvd,F,114406.71,,27
388447450,Dorothy,C,Brown,1982-09-01,1270 Lincoln Ct,M,139806.85,,7
179672074,Nancy,F,Harris,1965-12-03,9062 Elm Ln,F,111585.6,,29
314831026,Anthony,N,Taylor,1994-09-15,9071 Main St,M,94989.63,,15
334039434,David,M,Smith,1959-08-07,6317 Maple Rd,M,136849.71,,13
753962570,Charles,K,Baker,1961-08-03,5609 Cedar Ln,F,53949.1,,47
880695706,Mary,L,Clark,1981-05-15,4585 Main Dr,M,37100.96,,3
622797135,Andrew,A,Adams,1956-07-19,7120 Park St,M,91075.59,,47
310618309,Dorothy,B,Adams,1989-06-22,8691 Oak Way,M,108704.03,,17
794963903,Ashley,C,Smith,1985-03-28,5396 Washington Dr,F,112098.91,,49
796195906,Michael,E,Robinson,1961-12-04,4041 Oak Ct,M,54678.37,,32
250624992,Anthony,W,Robinson,1980-05-10,9025 Washington Ct,F,58706.7,,30
391250425,Mark,M,Mitchell,1992-09-15,6882 Main Blvd,M,36255.19,,17
888467237,Patricia,C,Green,1980-04-23,5706 Washington Rd,M,79716.56,,15
939691516,Sarah,W,Ramirez,1990-08-02,116 Lincoln Rd,M,20070.58,,32
618045811,Susan,M,Scott,1990-08-09,5124 Lake Ln,F,115651.72,,44
874642128,William,C,Torres,1978-04-14,9008 Lake St,M,64065.34,,32
556247420,Anthony,D,Robinson,1991-05-12,4275 Lake Ave,M,34811.61,,44
799329863,Stephanie,F,Jones,1991-03-11,9403 Washington Ct,M,92478.43,,36
876441691,John,F,Clark,1966-01-27,6604 Lincoln Blvd,F,133976.61,,2
570464462,Charles,C,Robinson,1971-04-02,5049 Pine Ln,M,40171.55,,36
214315434,Robert,G,Hill,1955-05-07,9138 Pine St,M,54991.84,,38
739283070,Ashley,S,Rivera,1976-06-09,2701 Washington Ave,M,51361.21,,35
972738280,Thomas,F,Lewis,1959-08-07,6532 Main Ct,M,38703.44,,29
461011646,Thomas,G,Carter,1956-06-24,7211 Washington St,M,91928.24,,48
167968595,Kimberly,S,Lee,1956-07-16,8177 Washington Ave,M,74923.95,,42
849803546,Richard,D,Mitchell,1990-01-02,3693 Washington Way,F,22721.78,,46
958885115,Anthony,F,Davis,1963-12-24,1060 Main Ave,F,138459.48,,32
614957846,Susan,T,Moore,1976-05-28,975 Elm Blvd,M,113909.72,,32
952485739,Betty,B,Hernandez,1965-09-20,4692 Washington Way,F,43552.62,,50
738497605,Stephanie,T,Harris,1959-07-07,4693 Main Ave,M,64623.48,,25
172714670,George,D,Nelson,1982-08-12,275 Lincoln Way,M,120867.74,,41
697716156,Kevin,K,Rivera,1965-08-14,2303 Cedar Way,F,119321.45,,38
723548418,Daniel,N,Jones,1957-01-28,2707 Pine Ave,M,84926.41,,45
945805127,Steven,J,Smith,1973-12-10,9716 Lake Ct,M,85724.34,,1
266504816,Dorothy,T,Green,1988-02-10,7771 Washington Ave,F,59051.12,,10
659184314,Christopher,N,Green,1980-05-28,6642 Cedar Ave,F,114148.66,,15
795265322,Kevin,K,Lewis,1956-05-16,5134 Lincoln Way,F,90353.9,,45
835619677,Thomas,N,Gonzalez,1967-12-24,124 Park Dr,M,146901.06,,20
580488037,Robert,W,Jackson,1974-05-19,905 Main Ln,M,38310.65,,27
955305487,William,T,Nelson,1993-10-08,1846 Washington St,F,61070.41,,20
989217681,Thomas,N,Rivera,1977-02-28,2686 Cedar Ave,M,130915.38,,41
462212833,Mark,A,Jackson,1962-03-02,626 Lake Blvd,M,21412.78,,29
637851330,Steven,B,Sanchez,1963-03-02,7785 Main Blvd,M,132019.48,,25
772361249,Sandra,C,Miller,1958-09-02,4931 Washington Way,M,100249.26,,28
548003203,Barbara,K,Nelson,1963-03-01,1275 Oak Blvd,F,105530.47,,10
999644995,James,K,Moore,1990-06-04,5694 Lincoln Ave,F,31461.05,,7
123201132,Andrew,P,Torres,1957-07-16,6688 Cedar St,M,42507.32,,36
683579921,James,S,Thomas,1968-10-22,7894 Lincoln Way,F,30322.64,,40
679184667,Betty,T,Allen,1972-03-09,7994 Cedar Ln,M,87467.04,,1
635203625,Sarah,T,Gonzalez,1979-12-25,3175 Park Ave,F,54813.93,,11
462456889,Thomas,S,Campbell,1986-08-06,5870 Main Blvd,F,43926.21,,36
402465524,Anthony,P,Thomas,1974-06-25,4388 Cedar Dr,F,112174.77,,6
766436631,Christopher,S,Torres,1972-08-06,8474 Cedar Way,M,117522.02,,10
875832605,Margaret,H,Williams,1962-04-13,8105 Cedar Blvd,F,120860.48,,44
752376434,Amanda,R,Williams,1963-02-08,6101 Maple Way,M,38152.84,,1
621475287,Joshua,R,Clark,1972-04-25,8494 Elm Ln,F,23326.69,,1
672523333,Steven,H,Harris,1956-08-24,6549 Maple Ave,F,49127.91,,3
269587940,Anthony,S,Walker,1967-05-11,4776 Oak Ave,M,36054.57,,1
484544028,Joshua,E,Wilson,1988-07-24,8356 Lincoln St,F,136469.71,,46
404617363,John,N,Perez,1965-12-16,7513 Maple Rd,F,104953.62,,27
195427130,Michael,M,Martinez,1972-12-07,6620 Cedar St,M,126130.62,,2
398822956,Jennifer,M,Garcia,1977-03-13,3201 Park Rd,M,138419.59,,41
286988502,Joseph,J,Campbell,1966-06-28,9185 Pine Blvd,M,22793.96,,18
386181187,Paul,B,Carter,1969-10-28,6463 Maple Blvd,M,50751.65,,22
396831273,Michelle,W,Lee,1959-08-06,4327 Cedar Rd,F,36538.92,,42
264334700,Mary,W,Garcia,1991-07-01,2238 Lincoln Ln,M,51163.84,,16
943389163,Christopher,M,Hill,1969-10-14,5445 Main Ave,M,89469.08,,22
212986551,Christopher,T,Nguyen,1967-06-15,1705 Main Way,F,30653.13,,5
930138373,Nancy,H,Walker,1989-12-20,3638 Elm Way,M,86107.64,,39
822062338,Donald,S,Williams,1963-08-05,7646 Park Ln,F,121918.57,,28
294459726,Linda,M,Carter,1958-01-28,1251 Cedar Ave,F,36564.87,,8
186000877,Stephanie,S,Walker,1981-06-23,7020 Elm Blvd,F,85823.49,,24
880411013,Daniel,P,Moore,1995-01-03,6755 Maple Blvd,M,24283.38,,1
753665892,Barbara,D,Baker,1989-09-24,3766 Maple Blvd,F,115832.51,,48
905899160,Matthew,P,Johnson,1963-06-13,2547 Washington Ln,M,76469.56,,44
829137330,Mark,M,White,1983-02-19,2355 Park Ln,F,29431.56,,1
